timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1679858797769,71,get_method,200,OK,Gr_32_Ukr 1-1,text,true,,184,153,4,4,http://5.75.203.123:5005/get_method?Name=Yaroslav&Age=31,71,0,33
1679858797794,66,get_method,200,OK,Gr_32_Ukr 1-2,text,true,,184,153,5,5,http://5.75.203.123:5005/get_method?Name=Yaroslav&Age=31,66,0,31
1679858797813,67,get_method,200,OK,Gr_32_Ukr 1-3,text,true,,184,153,6,6,http://5.75.203.123:5005/get_method?Name=Yaroslav&Age=31,67,0,33
1679858797836,69,get_method,200,OK,Gr_32_Ukr 1-4,text,true,,184,153,7,7,http://5.75.203.123:5005/get_method?Name=Yaroslav&Age=31,69,0,35
1679858797843,67,user_info_2,200,OK,Gr_32_Ukr 1-1,text,true,,487,249,8,8,http://5.75.203.123:5005/user_info_2,67,0,32
1679858797855,68,get_method,200,OK,Gr_32_Ukr 1-5,text,true,,184,153,8,8,http://5.75.203.123:5005/get_method?Name=Yaroslav&Age=31,67,0,32
1679858797861,66,user_info_2,200,OK,Gr_32_Ukr 1-2,text,true,,487,249,8,8,http://5.75.203.123:5005/user_info_2,66,0,32
1679858797872,64,get_method,200,OK,Gr_32_Ukr 1-6,text,true,,184,153,9,9,http://5.75.203.123:5005/get_method?Name=Yaroslav&Age=31,64,0,31
1679858797880,67,user_info_2,200,OK,Gr_32_Ukr 1-3,text,true,,487,249,9,9,http://5.75.203.123:5005/user_info_2,67,0,32
1679858797889,67,get_method,200,OK,Gr_32_Ukr 1-7,text,true,,184,153,10,10,http://5.75.203.123:5005/get_method?Name=Yaroslav&Age=31,67,0,33
1679858797905,67,user_info_2,200,OK,Gr_32_Ukr 1-4,text,true,,487,249,11,11,http://5.75.203.123:5005/user_info_2,67,0,32
1679858797908,67,get_method,200,OK,Gr_32_Ukr 1-8,text,true,,184,153,11,11,http://5.75.203.123:5005/get_method?Name=Yaroslav&Age=31,67,0,32
